Freq.	V(i_sns_pga)	V(v_sns_pga)
1.38038426460290e+04	(3.76476745917044e+00dB,-1.64367473811902e+02°)	(-3.12846776015792e+00dB,-7.27950048393749e+01°)
1.44543977074594e+04	(3.83835953642582e+00dB,-1.65816342316384e+02°)	(-3.45698767393294e+00dB,-7.41692203890190e+01°)
1.51356124843623e+04	(3.90723469569862e+00dB,-1.67256844896061e+02°)	(-3.79042818496249e+00dB,-7.55314679772642e+01°)
1.58489319246113e+04	(3.97174159309767e+00dB,-1.68689927566363e+02°)	(-4.12846159343164e+00dB,-7.68825204384403e+01°)
1.65958690743758e+04	(4.03222120945458e+00dB,-1.70116751718913e+02°)	(-4.47076644683482e+00dB,-7.82233393834545e+01°)
1.73780082874940e+04	(4.08900861846024e+00dB,-1.71538665761730e+02°)	(-4.81703171184240e+00dB,-7.95550734509771e+01°)
1.81970085861001e+04	(4.14243074289264e+00dB,-1.72957206199228e+02°)	(-5.16695621032142e+00dB,-8.08790418993150e+01°)
1.90546071796327e+04	(4.19280858399231e+00dB,-1.74374093262865e+02°)	(-5.52024817084726e+00dB,-8.21967406502815e+01°)
1.99526231496890e+04	(4.24045369083095e+00dB,-1.75791223169481e+02°)	(-5.87662588354221e+00dB,-8.35098211493116e+01°)
2.08929613085406e+04	(4.28566807162284e+00dB,-1.77210662040121e+02°)	(-6.23582170941132e+00dB,-8.48200936295589e+01°)
2.18776162394958e+04	(4.32874765752291e+00dB,-1.78634639800360e+02°)	(-6.59757700774888e+00dB,-8.61295185930917e+01°)
2.29086765276780e+04	(4.36997893325114e+00dB,1.79934435927646e+02°)	(-6.96164719647578e+00dB,-8.74402119106521e+01°)
2.39883291901952e+04	(4.40964190223552e+00dB,1.78493997132738e+02°)	(-7.32779650365459e+00dB,-8.87544321443144e+01°)
2.51188643150961e+04	(4.44800697690142e+00dB,1.77041301939170e+02°)	(-7.69580280297068e+00dB,-9.00745884386315e+01°)
2.63026799189541e+04	(4.48534004092037e+00dB,1.75573437290969e+02°)	(-8.06545527311819e+00dB,-9.14032480886333e+01°)
2.75422870333820e+04	(4.52190021810101e+00dB,1.74087308300605e+02°)	(-8.43655208759327e+00dB,-9.27431210759619e+01°)
2.88403150312664e+04	(4.55794012980768e+00dB,1.72579625527853e+02°)	(-8.80890697345535e+00dB,-9.40971007950772e+01°)
3.01995172040206e+04	(4.59370670995376e+00dB,1.71046911740198e+02°)	(-9.18234129740035e+00dB,-9.54682227239418e+01°)
3.16227766016842e+04	(4.62944255673041e+00dB,1.69485458081065e+02°)	(-9.55669297161487e+00dB,-9.68597313000437e+01°)
3.31131121482595e+04	(4.66538411646164e+00dB,1.67891346718530e+02°)	(-9.93180766319433e+00dB,-9.82750485439529e+01°)
3.46736850452536e+04	(4.70176273072348e+00dB,1.66260389501072e+02°)	(-1.03075506691761e+01dB,-9.97178140801604e+01°)
3.63078054770106e+04	(4.73880293084396e+00dB,1.64588137902038e+02°)	(-1.06837960391758e+01dB,-1.01191883883118e+02°)
3.80189396320566e+04	(4.77672194055070e+00dB,1.62869853046231e+02°)	(-1.10604382452001e+01dB,-1.02701370714581e+02°)
3.98107170553503e+04	(4.81572988864379e+00dB,1.61100461782958e+02°)	(-1.14373917621843e+01dB,-1.04250652091010e+02°)
4.16869383470341e+04	(4.85602453276025e+00dB,1.59274542584644e+02°)	(-1.18145911149776e+01dB,-1.05844398105755e+02°)
4.36515832240172e+04	(4.89778943894239e+00dB,1.57386286228985e+02°)	(-1.21919997194899e+01dB,-1.07487597932883e+02°)
4.57088189614881e+04	(4.94119189272918e+00dB,1.55429460021399e+02°)	(-1.25696108378668e+01dB,-1.09185590290689e+02°)
4.78630092322645e+04	(4.98637642582670e+00dB,1.53397371038707e+02°)	(-1.29474552548580e+01dB,-1.10944085876130e+02°)
