Freq.	V(i_sns)	V(v_sns)
5.24807460249778e+03	(-8.71623436128536e+00dB,-1.39948450944682e+02°)	(9.16923798942584e-01dB,-4.95809815536133e+01°)
5.49540873857630e+03	(-8.53657878324753e+00dB,-1.41382158397752e+02°)	(6.96284571057104e-01dB,-5.09973414599629e+01°)
5.75439937337163e+03	(-8.36590989251545e+00dB,-1.42813932940863e+02°)	(4.66630218009451e-01dB,-5.24109465592180e+01°)
6.02559586074364e+03	(-8.20409637341903e+00dB,-1.44241414488273e+02°)	(2.28089312742167e-01dB,-5.38193973889521e+01°)
6.30957344480200e+03	(-8.05097187071962e+00dB,-1.45662362187110e+02°)	(-1.91747966644078e-02dB,-5.52204117688740e+01°)
6.60693448007603e+03	(-7.90633745638992e+00dB,-1.47074678156207e+02°)	(-2.74966479247000e-01dB,-5.66118484335478e+01°)
6.91830970918944e+03	(-7.76996451376417e+00dB,-1.48476428247555e+02°)	(-5.39060733234666e-01dB,-5.79917276805715e+01°)
7.24435960074998e+03	(-7.64159793080118e+00dB,-1.49865859505282e+02°)	(-8.11206409923250e-01dB,-5.93582487092049e+01°)
7.58577575029192e+03	(-7.52095952222654e+00dB,-1.51241414146338e+02°)	(-1.09112966936962e+00dB,-6.07098034709788e+01°)
7.94328234724290e+03	(-7.40775156340464e+00dB,-1.52601739971344e+02°)	(-1.37853755104333e+00dB,-6.20449869432414e+01°)
8.31763771102680e+03	(-7.30166036660558e+00dB,-1.53945697346594e+02°)	(-1.67312159040219e+00dB,-6.33626039613258e+01°)
8.70963589956090e+03	(-7.20235975905442e+00dB,-1.55272362707119e+02°)	(-1.97456134112370e+00dB,-6.46616725622676e+01°)
9.12010839355920e+03	(-7.10951448076563e+00dB,-1.56581029255282e+02°)	(-2.28252782136134e+00dB,-6.59414245113519e+01°)
9.54992586021446e+03	(-7.02278331954631e+00dB,-1.57871204691609e+02°)	(-2.59668670181480e+00dB,-6.72013028471942e+01°)
1.00000000000001e+04	(-6.94182205027915e+00dB,-1.59142606815378e+02°)	(-2.91670130316787e+00dB,-6.84409572814178e+01°)
1.04712854805091e+04	(-6.86628604921473e+00dB,-1.60395157067593e+02°)	(-3.24223527410928e+00dB,-6.96602375244895e+01°)
1.09647819614320e+04	(-6.79583259731750e+00dB,-1.61628972583582e+02°)	(-3.57295496450827e+00dB,-7.08591851017285e+01°)
1.14815362149690e+04	(-6.73012288418383e+00dB,-1.62844357222062e+02°)	(-3.90853150584828e+00dB,-7.20380241266887e+01°)
1.20226443461743e+04	(-6.66882365178869e+00dB,-1.64041791775224e+02°)	(-4.24864253880293e+00dB,-7.31971512310309e+01°)
1.25892541179418e+04	(-6.61160853273117e+00dB,-1.65221923895346e+02°)	(-4.59297364332135e+00dB,-7.43371251855558e+01°)
1.31825673855642e+04	(-6.55815907561562e+00dB,-1.66385557965235e+02°)	(-4.94121946461954e+00dB,-7.54586564374076e+01°)
1.38038426460290e+04	(-6.50816547652931e+00dB,-1.67533645218755e+02°)	(-5.29308455486063e+00dB,-7.65625968638523e+01°)
1.44543977074594e+04	(-6.46132704550848e+00dB,-1.68667274380604e+02°)	(-5.64828396032287e+00dB,-7.76499300090758e+01°)
